orf	ec	mnxr	n_ec	n_mnxr
ECDH10B_2203	4.2.1.47	MNXR189638	1	1
ECDH10B_2211	3.1.3.48	MNXR105353;MNXR118733;MNXR130489;MNXR131711;MNXR131780;MNXR133260;MNXR133261;MNXR133262;MNXR133263;MNXR133264;MNXR133265;MNXR133266;MNXR133267;MNXR133268;MNXR133269;MNXR133270;MNXR133582;MNXR133583;MNXR133584;MNXR133585;MNXR134106;MNXR145997;MNXR146612;MNXR147702;MNXR147703;MNXR147704;MNXR165423;MNXR175667;MNXR195013	1	29
ECDH10B_2215	3.5.4.13	MNXR135473;MNXR155694;MNXR190283	1	3
ECDH10B_2216	2.7.1.48	MNXR111792;MNXR134067;MNXR188986;MNXR188988;MNXR189000;MNXR189008;MNXR189682;MNXR189906;MNXR190860;MNXR190862;MNXR190882;MNXR190884;MNXR190894;MNXR190896;MNXR190904;MNXR190906;MNXR190948;MNXR190950;MNXR190952;MNXR190954	1	20
ECDH10B_2217	2.7.7.65	MNXR150131	1	1
ECDH10B_2218	3.2.2.21	MNXR115421;MNXR132200;MNXR132201;MNXR174398;MNXR184186	1	5
ECDH10B_2222	3.1.3.16	MNXR105353;MNXR115291;MNXR132192;MNXR132617;MNXR132622;MNXR146867;MNXR146868;MNXR146869;MNXR166103;MNXR168975;MNXR172084;MNXR172115;MNXR172386;MNXR172387;MNXR172425;MNXR174282;MNXR187837;MNXR195329;MNXR195330	1	19
ECDH10B_2230	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_2244	1.1.1.251	MNXR114889;MNXR134516;MNXR145064;MNXR145065	1	4
ECDH10B_2246	2.7.1.200	MNXR123927;MNXR149249;MNXR185571	1	3
ECDH10B_2249	4.1.2.40	MNXR146531;MNXR146532;MNXR153519	1	3
ECDH10B_2250	4.1.2.13	MNXR129802;MNXR130316;MNXR130386;MNXR130387;MNXR133850;MNXR144324;MNXR146532;MNXR146784;MNXR153517;MNXR153519;MNXR180382;MNXR180394;MNXR184471;MNXR191073;MNXR195127	1	15
ECDH10B_2256	2.7.1.49;2.7.4.7	MNXR103045;MNXR180138;MNXR180325;MNXR188235	2	4
ECDH10B_2257	2.7.1.50	MNXR100611;MNXR200431	1	2
ECDH10B_2267	6.1.1.10	MNXR116054;MNXR119907;MNXR145597;MNXR145598;MNXR145599;MNXR145600;MNXR148972;MNXR148973;MNXR165600;MNXR175569;MNXR183897	1	11
ECDH10B_2281	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_2288	3.2.1.21	MNXR108230;MNXR113420;MNXR113424;MNXR113425;MNXR115362;MNXR116509;MNXR118195;MNXR118196;MNXR118555;MNXR121796;MNXR122934;MNXR129885;MNXR130465;MNXR130680;MNXR130797;MNXR130820;MNXR130821;MNXR130822;MNXR130823;MNXR130824;MNXR130825;MNXR130826;MNXR130991;MNXR130993;MNXR131189;MNXR131190;MNXR131191;MNXR131209;MNXR131210;MNXR131211;MNXR131246;MNXR131247;MNXR131248;MNXR131250;MNXR131251;MNXR131252;MNXR131253;MNXR131254;MNXR131255;MNXR131256;MNXR131257;MNXR131500;MNXR131501;MNXR131828;MNXR131829;MNXR131830;MNXR132624;MNXR132702;MNXR132790;MNXR133069;MNXR133104;MNXR133106;MNXR133311;MNXR133787;MNXR134074;MNXR135194;MNXR135237;MNXR135465;MNXR141533;MNXR146367;MNXR146824;MNXR146826;MNXR147308;MNXR148365;MNXR148369;MNXR149042;MNXR149043;MNXR149147;MNXR151541;MNXR151542;MNXR151544;MNXR152136;MNXR152137;MNXR165276;MNXR166700;MNXR172270;MNXR172271;MNXR172527;MNXR172528;MNXR173093;MNXR173405;MNXR173406;MNXR173408;MNXR173460;MNXR174347;MNXR175828;MNXR176862;MNXR179999;MNXR180080;MNXR182449;MNXR182450;MNXR182451;MNXR182509;MNXR183628;MNXR186676;MNXR190732;MNXR192109;MNXR192110;MNXR192112;MNXR192116;MNXR192837;MNXR197799;MNXR198715;MNXR198717;MNXR201307;MNXR201309;MNXR96248	1	107
ECDH10B_2289	1.1.5.12	MNXR115850;MNXR163385;MNXR169692;MNXR175410	1	4
ECDH10B_2300	3.5.4.5	MNXR111785;MNXR130941;MNXR135473;MNXR190856;MNXR97207	1	5
ECDH10B_2303	1.3.1.1	MNXR195607;MNXR195608;MNXR195609;MNXR198960;MNXR198961	1	5
ECDH10B_2304	1.3.1.1	MNXR195607;MNXR195608;MNXR195609;MNXR198960;MNXR198961	1	5
ECDH10B_2310	3.5.4.16	MNXR180469;MNXR189060;MNXR189537;MNXR189541;MNXR195612;MNXR195613;MNXR198557;MNXR198558	1	8
ECDH10B_2311	3.1.2.12	MNXR100353;MNXR104357;MNXR125002;MNXR133082;MNXR133686;MNXR133952;MNXR133958	1	7
ECDH10B_2316	3.1.21.2	MNXR164790;MNXR174254;MNXR177637;MNXR186391	1	4
ECDH10B_2319	3.2.2.8	MNXR107347;MNXR116258;MNXR145108;MNXR145303;MNXR170796;MNXR173281;MNXR173285;MNXR175726;MNXR183965;MNXR189024;MNXR190591;MNXR190858;MNXR198401;MNXR198402	1	14
ECDH10B_2322	4.2.1.70	MNXR198505;MNXR198506	1	2
ECDH10B_2323	2.7.1.83	MNXR108088	1	1
ECDH10B_2324	2.7.1.202	MNXR119131;MNXR119172;MNXR119173;MNXR119174;MNXR119175;MNXR119176;MNXR119177;MNXR148065;MNXR184125	1	9
ECDH10B_2325	2.7.1.56	MNXR145947;MNXR145948;MNXR147510	1	3
ECDH10B_2332	2.7.4.29	MNXR196427;MNXR196428;MNXR197210;MNXR202075	1	4
ECDH10B_2333	3.4.17.13	MNXR115457;MNXR120277;MNXR123132;MNXR123225;MNXR152204;MNXR152205;MNXR152206;MNXR152207;MNXR152208;MNXR152209;MNXR169267;MNXR189592;MNXR189594;MNXR203695	1	14
ECDH10B_2334	3.1.4.52	MNXR150480	1	1
ECDH10B_2338	7.4.2.6	MNXR115562;MNXR191809	1	2
ECDH10B_2341	5.4.99.19	MNXR117180;MNXR167543	1	2
ECDH10B_2358	7.6.2.5	MNXR195453;MNXR196489	1	2
ECDH10B_2363	1.9.6.1	MNXR107929;MNXR134344;MNXR136772;MNXR140124;MNXR147053;MNXR147054;MNXR165566;MNXR175598;MNXR187618	1	9
ECDH10B_2367	1.1.5.4	MNXR101440;MNXR101715;MNXR106489;MNXR116038;MNXR144157;MNXR166621;MNXR168787;MNXR175555;MNXR182010;MNXR182011;MNXR182012;MNXR182013;MNXR182014;MNXR182015;MNXR182410;MNXR189455;MNXR192646;MNXR193218	1	18
ECDH10B_2369	1.14.11.33	MNXR117495;MNXR123422;MNXR123424;MNXR164057;MNXR164058;MNXR166646;MNXR176373;MNXR177770;MNXR177771;MNXR183751;MNXR186682	1	11
ECDH10B_2370	2.1.1.63	MNXR115046;MNXR121185;MNXR148649;MNXR148650;MNXR166315;MNXR170058;MNXR174017;MNXR185210	1	8
ECDH10B_2371	2.7.1.180	MNXR150881;MNXR150882;MNXR167212;MNXR183460	1	4
ECDH10B_2376	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_2377	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_2379	2.8.3.8	MNXR111417;MNXR115659;MNXR119571;MNXR146920;MNXR146921;MNXR147175;MNXR165594;MNXR175245;MNXR183925;MNXR188245;MNXR190492	1	11
ECDH10B_2380	2.8.3.8	MNXR111417;MNXR115659;MNXR119571;MNXR146920;MNXR146921;MNXR147175;MNXR165594;MNXR175245;MNXR183925;MNXR188245;MNXR190492	1	11
ECDH10B_2382	2.3.1.9	MNXR130086;MNXR130088;MNXR130090;MNXR130091;MNXR130095;MNXR130096;MNXR130099;MNXR152737;MNXR180668;MNXR189281;MNXR190103;MNXR190494;MNXR190496;MNXR190498;MNXR190501;MNXR190503;MNXR190505	1	17
ECDH10B_2390	5.6.2.2	MNXR115632;MNXR172894;MNXR172895;MNXR172896	1	4
ECDH10B_2391	2.1.1.222;2.1.1.64	MNXR110921;MNXR115047;MNXR117140;MNXR117385;MNXR122717;MNXR122721;MNXR122725;MNXR122733;MNXR123633;MNXR144597;MNXR149256;MNXR151931;MNXR151932;MNXR153380;MNXR166710;MNXR168505;MNXR173586;MNXR179283;MNXR189329;MNXR192756;MNXR195795;MNXR198498;MNXR198499;MNXR198500;MNXR198572;MNXR198573	2	26
ECDH10B_2393	1.17.4.1	MNXR116252;MNXR116253;MNXR123400;MNXR123415;MNXR123416;MNXR129584;MNXR130252;MNXR131974;MNXR146314;MNXR146315;MNXR146316;MNXR146317;MNXR146320;MNXR146321;MNXR146322;MNXR146323;MNXR146326;MNXR146327;MNXR146328;MNXR146329;MNXR146332;MNXR146333;MNXR146334;MNXR146335;MNXR148639;MNXR148640;MNXR150218;MNXR150219;MNXR150220;MNXR150221;MNXR163524;MNXR166263;MNXR166525;MNXR166526;MNXR166527;MNXR166528;MNXR175266;MNXR175349;MNXR175468;MNXR175723;MNXR177764;MNXR178048;MNXR180520;MNXR180526;MNXR180535;MNXR180539	1	46
ECDH10B_2394	1.17.4.1	MNXR116252;MNXR116253;MNXR123400;MNXR123415;MNXR123416;MNXR129584;MNXR130252;MNXR131974;MNXR146314;MNXR146315;MNXR146316;MNXR146317;MNXR146320;MNXR146321;MNXR146322;MNXR146323;MNXR146326;MNXR146327;MNXR146328;MNXR146329;MNXR146332;MNXR146333;MNXR146334;MNXR146335;MNXR148639;MNXR148640;MNXR150218;MNXR150219;MNXR150220;MNXR150221;MNXR163524;MNXR166263;MNXR166525;MNXR166526;MNXR166527;MNXR166528;MNXR175266;MNXR175349;MNXR175468;MNXR175723;MNXR177764;MNXR178048;MNXR180520;MNXR180526;MNXR180535;MNXR180539	1	46
ECDH10B_2398	3.1.4.46	MNXR100410;MNXR100413;MNXR131699;MNXR131700;MNXR145114;MNXR145115;MNXR145116;MNXR145117;MNXR145118;MNXR147082;MNXR147083;MNXR147084;MNXR164905;MNXR165572;MNXR168670;MNXR175498;MNXR189644	1	17
ECDH10B_2400	1.1.5.3	MNXR106713;MNXR119581;MNXR123236;MNXR132716;MNXR137892;MNXR143653;MNXR143954;MNXR144907;MNXR157500;MNXR165992;MNXR166561;MNXR166577;MNXR178360;MNXR182362;MNXR182363;MNXR182425;MNXR182426;MNXR182670;MNXR182683;MNXR192664;MNXR193107;MNXR99876;MNXR99880;MNXR99882	1	24
ECDH10B_2401	1.1.5.3	MNXR106713;MNXR119581;MNXR123236;MNXR132716;MNXR137892;MNXR143653;MNXR143954;MNXR144907;MNXR157500;MNXR165992;MNXR166561;MNXR166577;MNXR178360;MNXR182362;MNXR182363;MNXR182425;MNXR182426;MNXR182670;MNXR182683;MNXR192664;MNXR193107;MNXR99876;MNXR99880;MNXR99882	1	24
ECDH10B_2405	4.1.2.53	MNXR107415	1	1
ECDH10B_2411	3.6.1.12;3.6.1.23;3.6.1.9	MNXR101930;MNXR101932;MNXR106363;MNXR114405;MNXR116099;MNXR123110;MNXR129720;MNXR130383;MNXR132688;MNXR134069;MNXR145755;MNXR145803;MNXR145805;MNXR145807;MNXR147360;MNXR152256;MNXR152257;MNXR152881;MNXR152882;MNXR163527;MNXR166314;MNXR168550;MNXR175613;MNXR180522;MNXR188497;MNXR188541;MNXR188543;MNXR188545;MNXR188547;MNXR188549;MNXR188613;MNXR190936;MNXR190946;MNXR196284;MNXR198816;MNXR96129;MNXR96340;MNXR97173;MNXR97203;MNXR97809;MNXR97822	3	41
ECDH10B_2414	2.4.2.53	MNXR196019;MNXR196020	1	2
ECDH10B_2415	1.1.1.305;2.1.2.13	MNXR123124;MNXR144604;MNXR146706;MNXR188952	2	4
ECDH10B_2417	2.4.2.43	MNXR123128;MNXR150626;MNXR150627;MNXR163712;MNXR166515;MNXR167057;MNXR177628;MNXR183672;MNXR196278;MNXR196279;MNXR196280;MNXR196281	1	12
ECDH10B_2421	6.2.1.26	MNXR121974;MNXR146487	1	2
ECDH10B_2422	4.2.1.113	MNXR148516;MNXR148517	1	2
ECDH10B_2423	4.1.3.36	MNXR110946;MNXR145795	1	2
ECDH10B_2424	4.2.99.20	MNXR150167;MNXR150168;MNXR151575;MNXR151576	1	4
ECDH10B_2425	2.2.1.9	MNXR146404;MNXR151575;MNXR151576	1	3
ECDH10B_2426	5.4.4.2	MNXR100784	1	1
ECDH10B_2452	2.6.1.2	MNXR180448;MNXR95696;MNXR95698	1	3
ECDH10B_2453	3.1.3.89	MNXR102028;MNXR102031;MNXR102033;MNXR102035;MNXR102036;MNXR114092;MNXR145799;MNXR177660	1	8
ECDH10B_2455	3.1.3.22;3.1.3.23;3.1.3.50	MNXR105353;MNXR106695;MNXR107343;MNXR118955;MNXR134140;MNXR134141;MNXR134143;MNXR144492;MNXR145650;MNXR150328;MNXR191242;MNXR191243;MNXR192379;MNXR198578;MNXR198782;MNXR198839	3	16
ECDH10B_2458	2.7.2.1	MNXR133365;MNXR133366;MNXR95269;MNXR95897	1	4
ECDH10B_2459	2.3.1.8	MNXR188623;MNXR188714	1	2
ECDH10B_2463	2.5.1.18	MNXR104634;MNXR110715;MNXR110716;MNXR110717;MNXR110735;MNXR110736;MNXR110737;MNXR110738;MNXR110777;MNXR110778;MNXR110791;MNXR110792;MNXR110799;MNXR110800;MNXR110801;MNXR110802;MNXR110808;MNXR110821;MNXR110824;MNXR111835;MNXR112833;MNXR113772;MNXR115954;MNXR117078;MNXR118238;MNXR119542;MNXR123277;MNXR123316;MNXR123871;MNXR129505;MNXR129607;MNXR129611;MNXR129613;MNXR129620;MNXR129654;MNXR129693;MNXR129697;MNXR129721;MNXR129811;MNXR129812;MNXR129814;MNXR129844;MNXR130036;MNXR130237;MNXR131080;MNXR131537;MNXR131907;MNXR132081;MNXR132082;MNXR132083;MNXR132698;MNXR132826;MNXR133160;MNXR133230;MNXR133814;MNXR134777;MNXR141735;MNXR150308;MNXR150309;MNXR150310;MNXR150311;MNXR150710;MNXR151419;MNXR151420;MNXR151421;MNXR152772;MNXR163533;MNXR165804;MNXR172807;MNXR175503;MNXR178598;MNXR179986;MNXR183591;MNXR184309;MNXR185322;MNXR185472;MNXR185916;MNXR186240;MNXR186532;MNXR187931;MNXR192579;MNXR196505;MNXR197720;MNXR197767;MNXR197808;MNXR197810;MNXR199381	1	87
ECDH10B_2465	5.1.99.7	MNXR197272;MNXR198213;MNXR198214	1	3
ECDH10B_2468	7.4.2.1	MNXR100258;MNXR100299;MNXR100644;MNXR101265;MNXR102222;MNXR115560;MNXR95952;MNXR96103	1	8
ECDH10B_2473	2.5.1.129	MNXR114523;MNXR167371	1	2
ECDH10B_2474	2.4.2.14	MNXR100030;MNXR129426;MNXR188137;MNXR195264;MNXR195265	1	5
ECDH10B_2477	6.3.2.12;6.3.2.17	MNXR105464;MNXR130441;MNXR131208;MNXR135309;MNXR135408;MNXR137935;MNXR139056;MNXR140043;MNXR143109;MNXR143412;MNXR144502;MNXR165409;MNXR169760;MNXR169761;MNXR173372;MNXR181991;MNXR181992;MNXR182579;MNXR200641	2	19
ECDH10B_2478	2.1.3.15	MNXR123189;MNXR152741;MNXR170349	1	3
ECDH10B_2480	5.4.99.12	MNXR124072;MNXR166205;MNXR189141;MNXR189142	1	4
ECDH10B_2482	1.1.1.290	MNXR102495	1	1
ECDH10B_2485	2.3.1.41	MNXR100907;MNXR100909;MNXR100910;MNXR100919;MNXR100920;MNXR100922;MNXR115237;MNXR116436;MNXR116440;MNXR120236;MNXR120241;MNXR120245;MNXR120249;MNXR122922;MNXR122923;MNXR122924;MNXR122925;MNXR122926;MNXR122927;MNXR123134;MNXR130402;MNXR130478;MNXR130479;MNXR132718;MNXR135711;MNXR135712;MNXR135713;MNXR135714;MNXR135715;MNXR137621;MNXR137622;MNXR137623;MNXR137624;MNXR137626;MNXR137627;MNXR137628;MNXR137629;MNXR137631;MNXR137632;MNXR145324;MNXR145325;MNXR145326;MNXR145327;MNXR145493;MNXR147808;MNXR147809;MNXR147810;MNXR148950;MNXR148951;MNXR148952;MNXR148953;MNXR149050;MNXR149051;MNXR149052;MNXR149053;MNXR149060;MNXR149061;MNXR149062;MNXR149063;MNXR149070;MNXR149071;MNXR149072;MNXR149073;MNXR149078;MNXR149079;MNXR149080;MNXR149081;MNXR149088;MNXR149089;MNXR149090;MNXR149091;MNXR150058;MNXR150060;MNXR150061;MNXR150749;MNXR150750;MNXR150753;MNXR150754;MNXR152846;MNXR165162;MNXR166239;MNXR174230;MNXR175791;MNXR175794;MNXR176057;MNXR177493;MNXR177525;MNXR177532;MNXR177533;MNXR177534;MNXR177535;MNXR177536;MNXR177537;MNXR177797;MNXR177800;MNXR177801;MNXR177814;MNXR177815;MNXR177818;MNXR177827;MNXR177830;MNXR177846;MNXR177857;MNXR178084;MNXR178085;MNXR182538;MNXR183820;MNXR188299;MNXR188301;MNXR188305;MNXR188309;MNXR188311;MNXR189688;MNXR191786;MNXR191788;MNXR192224;MNXR94956;MNXR94958;MNXR94960;MNXR94961	1	120
ECDH10B_2486	2.1.1.61	MNXR123209;MNXR135069;MNXR146990;MNXR146991;MNXR166029;MNXR174015;MNXR177681	1	7
ECDH10B_2491	4.2.3.5	MNXR96709	1	1
ECDH10B_2492	2.1.1.298	MNXR114122;MNXR119058;MNXR168597	1	3
ECDH10B_2504	1.1.1.35;4.2.1.17;5.1.2.3	MNXR100553;MNXR103757;MNXR105373;MNXR109134;MNXR110986;MNXR111673;MNXR116030;MNXR116104;MNXR116798;MNXR116799;MNXR117707;MNXR117711;MNXR117734;MNXR118591;MNXR118664;MNXR119878;MNXR120191;MNXR120666;MNXR121155;MNXR121156;MNXR121164;MNXR121168;MNXR121169;MNXR121173;MNXR123259;MNXR130445;MNXR132115;MNXR135350;MNXR145158;MNXR145160;MNXR145162;MNXR145164;MNXR145165;MNXR145166;MNXR145167;MNXR145205;MNXR147746;MNXR147747;MNXR147748;MNXR147975;MNXR148060;MNXR148061;MNXR148062;MNXR149252;MNXR151686;MNXR151688;MNXR152450;MNXR152451;MNXR152645;MNXR152646;MNXR153426;MNXR153428;MNXR153431;MNXR153432;MNXR153436;MNXR153437;MNXR153439;MNXR165778;MNXR166105;MNXR166208;MNXR172403;MNXR172404;MNXR173903;MNXR175427;MNXR175617;MNXR176987;MNXR177015;MNXR178264;MNXR179264;MNXR179988;MNXR179995;MNXR180026;MNXR184746;MNXR188200;MNXR188203;MNXR188205;MNXR188207;MNXR188212;MNXR188214;MNXR188239;MNXR188888;MNXR189058;MNXR189309;MNXR189315;MNXR189317;MNXR189548;MNXR189650;MNXR190216;MNXR190748;MNXR190956;MNXR191300;MNXR191301;MNXR191302;MNXR191303;MNXR191304;MNXR191305;MNXR191306;MNXR191307;MNXR191308;MNXR191309;MNXR191310;MNXR191311;MNXR191961;MNXR192055;MNXR192056;MNXR192518;MNXR192519;MNXR192599;MNXR192970;MNXR192971;MNXR193388;MNXR193391;MNXR193392;MNXR193396;MNXR193397;MNXR193401;MNXR193407;MNXR193408;MNXR193409;MNXR193411;MNXR193412;MNXR195448;MNXR195449;MNXR195715;MNXR195716;MNXR196117;MNXR196118;MNXR196528;MNXR196529;MNXR197863;MNXR197865;MNXR198344;MNXR198540;MNXR198541;MNXR198620;MNXR198621;MNXR198710;MNXR198711;MNXR97357	3	139
ECDH10B_2505	2.3.1.16	MNXR109642;MNXR111474;MNXR111478;MNXR111482;MNXR111520;MNXR111536;MNXR111670;MNXR111674;MNXR115993;MNXR116800;MNXR117712;MNXR117735;MNXR118665;MNXR118912;MNXR118926;MNXR118931;MNXR118937;MNXR121166;MNXR121170;MNXR121174;MNXR131348;MNXR131349;MNXR131350;MNXR131351;MNXR131352;MNXR131353;MNXR131354;MNXR131591;MNXR131592;MNXR131593;MNXR131594;MNXR131595;MNXR133920;MNXR133937;MNXR134477;MNXR140487;MNXR145333;MNXR145334;MNXR145335;MNXR146395;MNXR152737;MNXR152738;MNXR163350;MNXR164621;MNXR166159;MNXR175530;MNXR179996;MNXR186365;MNXR186376;MNXR188571;MNXR189281;MNXR189311;MNXR189313;MNXR189319;MNXR190103;MNXR190462;MNXR190494;MNXR190496;MNXR190498;MNXR190501;MNXR190503;MNXR190505;MNXR190507;MNXR192512;MNXR192972;MNXR193390;MNXR193393;MNXR193398;MNXR193413;MNXR193414;MNXR193415;MNXR200472;MNXR200473;MNXR200475;MNXR200476	1	75
ECDH10B_2531	4.3.1.18	MNXR104338;MNXR131145;MNXR147143;MNXR149436;MNXR149437	1	5
ECDH10B_2536	2.8.3.19	MNXR189251	1	1
ECDH10B_2538	4.1.1.8	MNXR102239	1	1
ECDH10B_2539	2.8.3.16	MNXR184194;MNXR99616	1	2
ECDH10B_2543	2.3.1.242	MNXR114218;MNXR116107;MNXR168448;MNXR175620;MNXR202074	1	5
ECDH10B_2544	2.6.1.2	MNXR180448;MNXR95696;MNXR95698	1	3
ECDH10B_2545	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_2548	2.7.1.202;2.7.3.9	MNXR107629;MNXR115211;MNXR119131;MNXR119172;MNXR119173;MNXR119174;MNXR119175;MNXR119176;MNXR119177;MNXR129508;MNXR129719;MNXR133128;MNXR133253;MNXR133254;MNXR133255;MNXR148065;MNXR166304;MNXR174201;MNXR184125;MNXR184334	2	20
ECDH10B_2552	2.7.1.202	MNXR119131;MNXR119172;MNXR119173;MNXR119174;MNXR119175;MNXR119176;MNXR119177;MNXR148065;MNXR184125	1	9
ECDH10B_2553	2.7.1.2	MNXR100283;MNXR107081;MNXR130530;MNXR130531;MNXR130844;MNXR133727;MNXR145193;MNXR151492;MNXR152759;MNXR152967;MNXR152973;MNXR153054;MNXR191830;MNXR191831;MNXR191954;MNXR192053;MNXR192378;MNXR198694;MNXR198695	1	19
ECDH10B_2559	3.1.4.52	MNXR150480	1	1
ECDH10B_2564	6.1.1.17	MNXR115926;MNXR145080;MNXR145081;MNXR145082;MNXR145083;MNXR145087;MNXR166281;MNXR172796;MNXR172797;MNXR175481;MNXR180500;MNXR187604;MNXR195237	1	13
ECDH10B_2571	2.4.2.1	MNXR116139;MNXR117113;MNXR117132;MNXR118491;MNXR121885;MNXR131543;MNXR131590;MNXR131899;MNXR131900;MNXR131901;MNXR131902;MNXR132656;MNXR133777;MNXR146171;MNXR146175;MNXR146176;MNXR146182;MNXR146186;MNXR166047;MNXR167172;MNXR175653;MNXR176932;MNXR184261;MNXR188521;MNXR188678;MNXR188726;MNXR189245;MNXR189834;MNXR198302;MNXR198303	1	30
ECDH10B_2576	6.5.1.2	MNXR115854;MNXR145756;MNXR173101;MNXR175415;MNXR184789	1	5
ECDH10B_2579	2.5.1.47;4.5.1.5	MNXR129769;MNXR129771;MNXR129783;MNXR133878;MNXR134402;MNXR148494;MNXR148495;MNXR152862;MNXR152864;MNXR152865;MNXR152866;MNXR152927;MNXR152928;MNXR152929;MNXR172646;MNXR172647;MNXR172648;MNXR173061;MNXR180461;MNXR191292;MNXR97007	2	21
ECDH10B_2581	2.7.3.9	MNXR107629;MNXR115211;MNXR129508;MNXR129719;MNXR133128;MNXR133253;MNXR133254;MNXR133255;MNXR166304;MNXR174201;MNXR184334	1	11
ECDH10B_2583	2.7.1.35	MNXR103357;MNXR103361;MNXR103362;MNXR200585	1	4
ECDH10B_2586	2.5.1.47	MNXR129769;MNXR129771;MNXR129783;MNXR133878;MNXR152862;MNXR152864;MNXR152865;MNXR152866;MNXR152927;MNXR152928;MNXR152929;MNXR172646;MNXR172647;MNXR172648;MNXR173061;MNXR180461;MNXR191292;MNXR97007	1	18
ECDH10B_2587	7.3.2.3	MNXR104655;MNXR104964	1	2
ECDH10B_2593	4.2.1.126	MNXR151353;MNXR151354	1	2
ECDH10B_2594	2.7.1.192	MNXR112093;MNXR123117;MNXR183877	1	3
ECDH10B_2595	3.4.16.4	MNXR115453;MNXR120266;MNXR120273;MNXR129629;MNXR129641;MNXR129668;MNXR131538;MNXR131672;MNXR132042;MNXR132044;MNXR133867;MNXR141472;MNXR141599;MNXR144340;MNXR145562;MNXR145563;MNXR150441;MNXR152192;MNXR152193;MNXR152194;MNXR152195;MNXR152196;MNXR152197;MNXR152198;MNXR152199;MNXR175900;MNXR175978;MNXR175997;MNXR184265;MNXR186459;MNXR196580;MNXR196600;MNXR199405;MNXR199411	1	34
ECDH10B_2600	3.5.1.28	MNXR108665;MNXR118592;MNXR120516;MNXR134413;MNXR144137;MNXR174484;MNXR196485;MNXR199427;MNXR95797	1	9
ECDH10B_2601	1.3.3.3	MNXR180501;MNXR96880;MNXR96883	1	3
ECDH10B_2605	4.3.1.7	MNXR149438;MNXR149439;MNXR97968	1	3
ECDH10B_2606	4.3.1.7	MNXR149438;MNXR149439;MNXR97968	1	3
ECDH10B_2618	1.1.1.1	MNXR100327;MNXR103538;MNXR107392;MNXR107575;MNXR107794;MNXR108795;MNXR109409;MNXR109410;MNXR109504;MNXR110642;MNXR110652;MNXR110813;MNXR110840;MNXR111836;MNXR111858;MNXR111862;MNXR112092;MNXR113578;MNXR113664;MNXR114023;MNXR114099;MNXR115960;MNXR116586;MNXR121802;MNXR121806;MNXR122007;MNXR123748;MNXR129422;MNXR129432;MNXR129466;MNXR129497;MNXR129713;MNXR130002;MNXR130003;MNXR130004;MNXR130005;MNXR130006;MNXR130008;MNXR130009;MNXR130011;MNXR130012;MNXR130013;MNXR130014;MNXR130015;MNXR130016;MNXR130017;MNXR130018;MNXR130019;MNXR130020;MNXR130021;MNXR130023;MNXR130024;MNXR130026;MNXR130027;MNXR130028;MNXR130029;MNXR130030;MNXR130031;MNXR130057;MNXR130246;MNXR130247;MNXR130248;MNXR130249;MNXR130250;MNXR130469;MNXR130779;MNXR130936;MNXR130949;MNXR130950;MNXR130951;MNXR131477;MNXR131478;MNXR131479;MNXR131480;MNXR131481;MNXR131482;MNXR131484;MNXR131485;MNXR131486;MNXR131487;MNXR131488;MNXR132924;MNXR132940;MNXR133209;MNXR133210;MNXR133398;MNXR133418;MNXR133532;MNXR133643;MNXR133666;MNXR133686;MNXR133703;MNXR133713;MNXR133715;MNXR133788;MNXR133789;MNXR133796;MNXR133804;MNXR133820;MNXR133829;MNXR133834;MNXR134137;MNXR134530;MNXR134531;MNXR135412;MNXR138038;MNXR146250;MNXR146257;MNXR146812;MNXR146992;MNXR146993;MNXR146994;MNXR146995;MNXR146996;MNXR146997;MNXR147581;MNXR147582;MNXR147597;MNXR147984;MNXR149871;MNXR151007;MNXR151516;MNXR151585;MNXR165427;MNXR165428;MNXR175272;MNXR176427;MNXR178102;MNXR180036;MNXR189056;MNXR189229;MNXR189842;MNXR192032;MNXR193473;MNXR195553;MNXR195659;MNXR195660;MNXR197289;MNXR197321;MNXR198676;MNXR94833;MNXR95708;MNXR95709;MNXR95712;MNXR95716;MNXR95718;MNXR95719;MNXR95722;MNXR95724;MNXR95725;MNXR95726;MNXR95727;MNXR95728;MNXR95729;MNXR95731;MNXR95754;MNXR95788;MNXR96362;MNXR96365;MNXR96697	1	160
ECDH10B_2620	1.2.1.10	MNXR118236;MNXR130506;MNXR131547;MNXR147171;MNXR153111;MNXR188439;MNXR190509	1	7
ECDH10B_2623	2.3.1.8	MNXR188623;MNXR188714	1	2
ECDH10B_2624	2.5.1.154	MNXR126347;MNXR164274;MNXR194667;MNXR194668;MNXR199087	1	5
ECDH10B_2625	2.7.2.1	MNXR133365;MNXR133366;MNXR95269;MNXR95897	1	4
ECDH10B_2626	2.7.2.1	MNXR133365;MNXR133366;MNXR95269;MNXR95897	1	4
